number,law,method,stage,object,customer,price_rub,posted,region
0346200005626000003,44-ФЗ,Электронный аукцион,Работа комиссии,Оборудование окон и стеклопакеты входных дверей учебн ого корпуса и общежития противоосколочной бронепленкой,"ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛЕБЕДЯНСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""",621001.46,26.06.2026,Не определён
0344100003426000117,44-ФЗ,Электронный аукцион,Работа комиссии,Поставка типовых комплектов учебн ого оборудован ия (промышленное оборудование ),"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КУРСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ ИМЕНИ И.И. ИВАНОВА""",1199532.46,26.06.2026,Не определён
0324300115226000001,44-ФЗ,Электронный аукцион,Подача заявок,Поставка БПЛА и сопутствующего оборудован ия,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ ""КОМПЛЕКСНЫЙ ЦЕНТР ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ""",1000200.0,01.07.2026,Не определён
32616145402,223-ФЗ,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Работа комиссии,"Учебн о-производственное оборудование для обучения по специальностям: ""Агрономия"" и ""Ветеринария""","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ЛАБИНСКИЙ АГРАРНЫЙ ТЕХНИКУМ""",3891631.33,24.06.2026,Краснодарского
0819600006026000175,44-ФЗ,Электронный аукцион,Работа комиссии,"Поставка оборудован ия для оснащения по учебн ому предмету ""Изобразительное искусство""","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ БОГУЧАНСКОГО РАЙОНА""",10070.0,26.06.2026,Не определён
0338100004826000066,44-ФЗ,Электронный аукцион,Подача заявок,(П761) Оборудование учебное лабораторное,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАМЧАТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ВИТУСА БЕРИНГА""",11681536.66,06.07.2026,Не определён
0851300007326000158,44-ФЗ,Электронный аукцион,Подача заявок,Тренажер-манекен для отработки навыков сердечно-легочной реанимации,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РАБОЧЕГО ПОСЕЛКА КРАСНООБСКА НОВОСИБИРСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ ""РЕСУРСНО-АДМИНИСТРАТИВНАЯ СЛУЖБА""",107635.0,03.07.2026,Новосибирской
0119200000126011354,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"ЭА-№-8116/26 «На поставку учебн ого оборудован ия по общеобразовательной программе ""Химия"" для нужд краевого государственного бюджетного профессионального образовательного учреждения ""Южный аграрный технику""»",АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,225104.34,23.06.2026,Красноярского
0373100029526000193,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка оборудован ия,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МИРЭА - РОССИЙСКИЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ""",47585383.0,24.06.2026,Не определён
0816500000626010855,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Выполнение работ по монтажу системы оповещения и управления эвакуацией «Антитеррор» и охранной сигнализации,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",1009089.0,25.06.2026,Саха
0310200000326002378,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка оборудован ия,УПРАВЛЕНИЕ РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ ПО ПРОВЕДЕНИЮ ЗАКУПОК ДЛЯ ГОСУДАРСТВЕННЫХ НУЖД,394576.32,23.06.2026,Северная
32616143722,223-ФЗ,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Закупка завершена,Поставка учебн ого оборудован ия ОБЗР и Труд,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ ДАГЕСТАН ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""АЛЬТАИР""",1547900.0,24.06.2026,Дагестан
32616144086,223-ФЗ,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Закупка завершена,Поставка оборудован ия для обеспечения учебн ого процесса по специальности 43.02.17 Технологии индустрии красоты,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АКАДЕМИЯ СЕРВИСА""",44775.0,24.06.2026,Не определён
0327100004526000026,44-ФЗ,Электронный аукцион,Подача заявок,"Приобретение учебн ого оборудован ия (лот № 5) в целях реализации проекта развития образовательной организации, реализующей образовательные программы СПО для подготовки кадров отрасли сельского хозяйства","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""БРЯНСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ""",16288407.57,03.07.2026,Не определён
0145300005226000360,44-ФЗ,Электронный аукцион,Подача заявок,"Поставка учебн ого оборудован ия для нужд МОБУ ""Муринская СОШ №5""",АДМИНИСТРАЦИЯ ВСЕВОЛОЖСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ,4269270.0,01.07.2026,Ленинградской
0136500001126003928,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка лабораторных стендов ( оборудован ия учебн ого для отработки практических навыков),КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ТВЕРСКОЙ ОБЛАСТИ,1300000.01,26.06.2026,Тверской
0176200005526001201,44-ФЗ,Электронный аукцион,Подача заявок,"Поставка оборудован ия для общеобразовательных организаций Республики Адыгея по учебн ому предмету ""Физика"" (лот 1)",КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,13904990.0,09.06.2026,Адыгея
0119200000126011760,44-ФЗ,Электронный аукцион,Подача заявок,ЭА-№-12000/26 «Поставка оборудован ия в целях реализации федерального проекта «Профессионалитет» государственной программы Российской Федерации «Развитие образования»»,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,48366000.0,29.06.2026,Красноярского
0817200000326010605,44-ФЗ,Электронный аукцион,Подача заявок,"Поставка, сборка мебели и оборудован ия для кабинета технологии в рамках строительства здания учебн ых мастерских МБОУ «Лицей № 8» по адресу: г. Новоалтайск, ул. Ударника, 27а","КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""",548292.0,03.07.2026,Алтайского
